State,Year,Medicaid_Spending,Median_Income
Hawaii,2038,7141.3941338221775,140819.7158570122
Hawaii,2039,7307.120073327213,143937.3785517877
Hawaii,2040,7472.846012832248,147055.0412465632
Hawaii,2041,7638.571952337283,150172.70394133776
Hawaii,2042,7804.297891842318,153290.36663611326
Hawaii,2043,7970.023831347353,156408.02933088876
Hawaii,2044,8135.749770852446,159525.69202566426
Hawaii,2045,8301.475710357481,162643.35472043976
Hawaii,2046,8467.201649862516,165761.01741521526
Hawaii,2047,8632.927589367551,168878.68010999076
Hawaii,2048,8798.653528872586,171996.34280476626
Hawaii,2049,8964.379468377621,175114.00549954176
Hawaii,2050,9130.105407882656,178231.66819431726
Idaho,2021,4450.972669769661,68407.6671838332
Idaho,2022,4633.372717508057,70682.11958467681
Idaho,2023,4815.772765246453,72956.57198551949
Idaho,2024,4998.172812984849,75231.0243863631
Idaho,2025,5180.572860723245,77505.47678720672
Idaho,2026,5362.972908461641,79779.92918805033
Idaho,2027,5545.372956200037,82054.38158889301
Idaho,2028,5727.773003938433,84328.83398973662
Idaho,2029,5910.173051676829,86603.28639058024
Idaho,2030,6092.573099415225,88877.73879142385
Idaho,2031,6274.9731471536215,91152.19119226653
Idaho,2032,6457.373194892018,93426.64359311014
Idaho,2033,6639.773242630414,95701.09599395376
Idaho,2034,6822.17329036881,97975.54839479737
Idaho,2035,7004.573338107206,100250.00079564005
Idaho,2036,7186.973385845544,102524.45319648366
Idaho,2037,7369.37343358394,104798.90559732728
Idaho,2038,7551.773481322336,107073.35799817089
Idaho,2039,7734.173529060732,109347.81039901357
Idaho,2040,7916.573576799128,111622.26279985718
Idaho,2041,8098.973624537524,113896.7152007008
Idaho,2042,8281.37367227592,116171.16760154441
Idaho,2043,8463.773720014316,118445.62000238709
Idaho,2044,8646.173767752713,120720.0724032307
Idaho,2045,8828.573815491109,122994.52480407432
Idaho,2046,9010.973863229505,125268.97720491793
Idaho,2047,9193.3739109679,127543.42960576061
Idaho,2048,9375.773958706297,129817.88200660422
Idaho,2049,9558.174006444693,132092.33440744784
Idaho,2050,9740.57405418309,134366.78680829052
Illinois,2021,40406.10449129203,77551.04491292406
Illinois,2022,41807.048579284456,80400.48579285108
Illinois,2023,43207.99266727734,83249.92667277716
Illinois,2024,44608.936755269766,86099.36755270418
Illinois,2025,46009.880843262654,88948.8084326312
Illinois,2026,47410.824931255076,91798.24931255728
Illinois,2027,48811.769019247964,94647.6901924843
Illinois,2028,50212.713107240386,97497.13107241038
Illinois,2029,51613.657195233274,100346.5719523374
Illinois,2030,53014.60128322616,103196.01283226442
Illinois,2031,54415.545371218584,106045.4537121905
Illinois,2032,55816.48945921147,108894.89459211752
Illinois,2033,57217.433547203895,111744.33547204453
Illinois,2034,58618.37763519678,114593.77635197062
Illinois,2035,60019.321723189205,117443.21723189764
Illinois,2036,61420.26581118209,120292.65811182372
Illinois,2037,62821.209899174515,123142.09899175074
Illinois,2038,64222.1539871674,125991.53987167776
Illinois,2039,65623.09807515983,128840.98075160384
Illinois,2040,67024.04216315271,131690.42163153086
Illinois,2041,68424.98625114514,134539.86251145788
Illinois,2042,69825.93033913802,137389.30339138396
Illinois,2043,71226.87442713045,140238.74427131098
Illinois,2044,72627.81851512333,143088.18515123706
Illinois,2045,74028.76260311576,145937.62603116408
Illinois,2046,75429.70669110864,148787.0669110911
Illinois,2047,76830.65077910107,151636.50779101718
Illinois,2048,78231.59486709395,154485.9486709442
Illinois,2049,79632.53895508684,157335.38955087122
Illinois,2050,81033.48304307926,160184.8304307973
Indiana,2021,26061.601283226628,69149.3767186068
Indiana,2022,27438.15673693875,71716.7277726857
Indiana,2023,28814.71219065087,74284.0788267646
Indiana,2024,30191.26764436299,76851.4298808435
Indiana,2025,31567.823098075576,79418.7809349224
Indiana,2026,32944.3785517877,81986.1319890013
Indiana,2027,34320.93400549982,84553.4830430802
Indiana,2028,35697.48945921194,87120.8340971591
Indiana,2029,37074.04491292406,89688.18515123706
Indiana,2030,38450.60036663618,92255.53620531596
Indiana,2031,39827.1558203483,94822.88725939486
Indiana,2032,41203.711274060886,97390.23831347376
Indiana,2033,42580.26672777301,99957.58936755266
Indiana,2034,43956.82218148513,102524.94042163156
Indiana,2035,45333.37763519725,105092.29147571046
Indiana,2036,46709.93308890937,107659.64252978936
Indiana,2037,48086.48854262149,110226.99358386826
Indiana,2038,49463.043996334076,112794.34463794716
Indiana,2039,50839.5994500462,115361.69569202606
Indiana,2040,52216.15490375832,117929.04674610496
Indiana,2041,53592.71035747044,120496.39780018385
Indiana,2042,54969.26581118256,123063.74885426182
Indiana,2043,56345.82126489468,125631.09990834072
Indiana,2044,57722.3767186068,128198.45096241962
Indiana,2045,59098.932172319386,130765.80201649852
Indiana,2046,60475.48762603151,133333.15307057742
Indiana,2047,61852.04307974363,135900.50412465632
Indiana,2048,63228.59853345575,138467.85517873522
Indiana,2049,64605.15398716787,141035.20623281412
Indiana,2050,65981.70944087999,143602.55728689302
Iowa,2021,9512.79510175914,71317.10244912002
Iowa,2022,9804.847188685671,73241.57640565699
Iowa,2023,10096.899275612202,75166.05036219349
Iowa,2024,10388.951362538734,77090.52431873046
Iowa,2025,10681.003449465265,79014.99827526696
Iowa,2026,10973.055536391796,80939.47223180393
Iowa,2027,11265.107623318327,82863.94618834043
Iowa,2028,11557.159710244858,84788.4201448774
Iowa,2029,11849.211797171389,86712.8941014139
Iowa,2030,12141.26388409792,88637.36805795087
Iowa,2031,12433.31597102445,90561.84201448737
Iowa,2032,12725.368057950982,92486.31597102433
Iowa,2033,13017.420144877513,94410.78992756084
Iowa,2034,13309.472231804044,96335.2638840978
Iowa,2035,13601.524318730575,98259.7378406343
Iowa,2036,13893.57640565699,100184.21179717127
Iowa,2037,14185.62849258352,102108.68575370777
Iowa,2038,14477.680579510052,104033.15971024474
Iowa,2039,14769.732666436583,105957.63366678124
Iowa,2040,15061.784753363114,107882.10762331821
Iowa,2041,15353.836840289645,109806.58157985471
Iowa,2042,15645.888927216176,111731.05553639168
Iowa,2043,15937.941014142707,113655.52949292818
Iowa,2044,16229.993101069238,115580.00344946515
Iowa,2045,16522.04518799577,117504.47740600165
Iowa,2046,16814.0972749223,119428.95136253862
Iowa,2047,17106.14936184883,121353.42531907512
Iowa,2048,17398.201448775362,123277.89927561209
Iowa,2049,17690.253535701893,125202.37323214905
Iowa,2050,17982.305622628424,127126.84718868556
Kansas,2021,6445.26489459211,73331.7415215401
Kansas,2022,6637.640696608578,76234.14298808388
Kansas,2023,6830.016498625104,79136.5444546286
Kansas,2024,7022.392300641572,82038.94592117332
Kansas,2025,7214.768102658098,84941.3473877171
Kansas,2026,7407.143904674565,87843.74885426182
Kansas,2027,7599.519706691091,90746.15032080654
Kansas,2028,7791.895508707559,93648.55178735126
Kansas,2029,7984.271310724085,96550.95325389504
Kansas,2030,8176.647112740553,99453.35472043976
Kansas,2031,8369.022914757079,102355.75618698448
Kansas,2032,8561.398716773605,105258.1576535292
Kansas,2033,8753.774518790073,108160.55912007298
Kansas,2034,8946.150320806599,111062.9605866177
Kansas,2035,9138.526122823067,113965.36205316242
Kansas,2036,9330.901924839593,116867.7635197062
Kansas,2037,9523.27772685606,119770.16498625092
Kansas,2038,9715.653528872586,122672.56645279564
Kansas,2039,9908.029330889054,125574.96791934036
Kansas,2040,10100.40513290558,128477.36938588414
Kansas,2041,10292.780934922048,131379.77085242886
Kansas,2042,10485.156736938574,134282.17231897358
Kansas,2043,10677.532538955042,137184.57378551736
Kansas,2044,10869.908340971568,140086.97525206208
Kansas,2045,11062.284142988035,142989.3767186068
Kansas,2046,11254.659945004561,145891.77818515152
Kansas,2047,11447.03574702103,148794.1796516953
Kansas,2048,11639.411549037555,151696.58111824002
Kansas,2049,11831.787351054081,154598.98258478474
Kansas,2050,12024.163153070549,157501.38405132852
Kentucky,2021,21597.1166931428,58476.91487953393
Kentucky,2022,22769.288985967636,60490.07678051386
Kentucky,2023,23941.46127879247,62503.23868149333
Kentucky,2024,25113.63357161777,64516.400582472794
Kentucky,2025,26285.805864442606,66529.56248345273
Kentucky,2026,27457.97815726744,68542.7243844322
Kentucky,2027,28630.15045009274,70555.88628541166
Kentucky,2028,29802.322742917575,72569.04818639159
Kentucky,2029,30974.495035742875,74582.21008737106
Kentucky,2030,32146.66732856771,76595.37198835053
Kentucky,2031,33318.839621392544,78608.53388933046
Kentucky,2032,34491.011914217845,80621.69579030992
Kentucky,2033,35663.18420704268,82634.85769128939
Kentucky,2034,36835.356499867514,84648.01959226932
Kentucky,2035,38007.528792692814,86661.18149324879
Kentucky,2036,39179.70108551765,88674.34339422826
Kentucky,2037,40351.87337834248,90687.50529520819
Kentucky,2038,41524.04567116778,92700.66719618766
Kentucky,2039,42696.21796399262,94713.82909716712
Kentucky,2040,43868.39025681745,96726.99099814659
Kentucky,2041,45040.56254964275,98740.15289912652
Kentucky,2042,46212.73484246759,100753.31480010599
Kentucky,2043,47384.90713529242,102766.47670108546
Kentucky,2044,48557.07942811772,104779.63860206539
Kentucky,2045,49729.25172094256,106792.80050304485
Kentucky,2046,50901.42401376739,108805.96240402432
Kentucky,2047,52073.59630659269,110819.12430500425
Kentucky,2048,53245.768599417526,112832.28620598372
Kentucky,2049,54417.94089224236,114845.44810696319
Kentucky,2050,55590.11318506766,116858.61000794312
Louisiana,2021,23010.0530461343,51633.88522745576
Louisiana,2022,24134.82285806164,52875.32872528583
Louisiana,2023,25259.592669988982,54116.77222311543
Louisiana,2024,26384.362481916323,55358.2157209455
Louisiana,2025,27509.132293843664,56599.659218775574
Louisiana,2026,28633.902105771005,57841.102716605645
Louisiana,2027,29758.671917698346,59082.54621443525
Louisiana,2028,30883.441729625687,60323.98971226532
Louisiana,2029,32008.211541553028,61565.43321009539
Louisiana,2030,33132.98135348037,62806.876707924996
Louisiana,2031,34257.75116540771,64048.320205755066
Louisiana,2032,35382.52097733505,65289.76370358514
Louisiana,2033,36507.29078926239,66531.20720141474
Louisiana,2034,37632.06060118973,67772.65069924481
Louisiana,2035,38756.83041311707,69014.09419707488
Louisiana,2036,39881.600225044414,70255.53769490495
Louisiana,2037,41006.370036971755,71496.98119273456
Louisiana,2038,42131.139848899096,72738.42469056463
Louisiana,2039,43255.90966082644,73979.8681883947
Louisiana,2040,44380.67947275378,75221.3116862243
Louisiana,2041,45505.44928468112,76462.75518405437
Louisiana,2042,46630.21909660846,77704.19868188445
Louisiana,2043,47754.9889085358,78945.64217971405
Louisiana,2044,48879.75872046314,80187.08567754412
Louisiana,2045,50004.52853239048,81428.52917537419
Louisiana,2046,51129.298344317824,82669.97267320426
Louisiana,2047,52254.068156245165,83911.41617103387
Louisiana,2048,53378.837968172505,85152.85966886394
Louisiana,2049,54503.60778009985,86394.30316669401
Louisiana,2050,55628.37759202719,87635.74666452361
Maine,2021,5906.620531622379,62984.0513290558
Maine,2022,6051.507791017415,64546.26947754342
Maine,2023,6196.395050412451,66108.48762603104
Maine,2024,6341.282309807488,67670.70577451866
Maine,2025,6486.169569202524,69232.92392300628
Maine,2026,6631.056828597619,70795.1420714939
Maine,2027,6775.944087992655,72357.36021998152
Maine,2028,6920.8313473876915,73919.57836846914
Maine,2029,7065.718606782728,75481.79651695676
Maine,2030,7210.6058661778225,77044.01466544438
Maine,2031,7355.493125572859,78606.232813932
Maine,2032,7500.380384967895,80168.45096241962
Maine,2033,7645.267644362932,81730.66911090724
Maine,2034,7790.154903758026,83292.88725939486
Maine,2035,7935.042163153063,84855.10540788248
Maine,2036,8079.929422548099,86417.3235563701
Maine,2037,8224.816681943135,87979.54170485772
Maine,2038,8369.70394133823,89541.75985334534
Maine,2039,8514.591200733266,91103.97800183296
Maine,2040,8659.478460128303,92666.19615032058
Maine,2041,8804.365719523339,94228.4142988082
Maine,2042,8949.252978918434,95790.63244729582
