Year,State,Prevalence,Stratification
2018,Pennsylvania,7.2,"White, non-Hispanic"
2019,Florida,6.5,Male
2014,Ohio,6.8,Male
2012,Connecticut,5.3,Hispanic
2017,South Dakota,4.7,Female
2014,Colorado,3.1,"Other, non-Hispanic"
2021,Minnesota,5.0,Male
2011,Oklahoma,9.4,"Other, non-Hispanic"
2016,Virginia,7.4,"White, non-Hispanic"
2012,New Jersey,18.6,"Multiracial, non-Hispanic"
2016,Mississippi,9.2,"White, non-Hispanic"
2012,California,3.5,Male
2020,Hawaii,3.7,Female
2013,Wyoming,6.7,Male
2016,Massachusetts,4.8,Hispanic
2018,Alaska,5.2,Male
2021,Mississippi,10.4,Female
2019,California,3.9,Male
2020,Hawaii,4.1,"White, non-Hispanic"
2013,Colorado,4.0,"Other, non-Hispanic"
2020,Illinois,8.2,"Black, non-Hispanic"
2016,Montana,8.1,Female
2015,Delaware,8.6,Female
2015,Florida,6.0,Male
2019,New York,3.7,Hispanic
2021,New Mexico,4.5,Male
2015,South Dakota,5.8,Female
2019,West Virginia,12.4,"White, non-Hispanic"
2018,New Mexico,5.5,Male
2012,Louisiana,6.7,"Black, non-Hispanic"
2020,Kentucky,12.8,"White, non-Hispanic"
2019,Wyoming,6.5,Male
2011,Mississippi,7.6,Male
2011,Colorado,8.6,"Multiracial, non-Hispanic"
2015,Wisconsin,4.4,Male
2019,Nebraska,8.3,"Other, non-Hispanic"
2016,Mississippi,6.9,"Black, non-Hispanic"
2020,Texas,3.7,"Black, non-Hispanic"
2014,Alabama,8.2,"Black, non-Hispanic"
2019,Hawaii,5.7,Hispanic
2019,Missouri,8.9,"White, non-Hispanic"
2011,Tennessee,11.6,Female
2018,Mississippi,10.6,Female
2014,Missouri,18.7,"Multiracial, non-Hispanic"
2017,Michigan,6.2,Hispanic
2015,Utah,3.4,Male
2013,Texas,6.1,Female
2015,Mississippi,5.5,"Black, non-Hispanic"
2013,Indiana,6.8,Male
2017,New Mexico,7.6,"White, non-Hispanic"
2015,Iowa,5.9,"White, non-Hispanic"
2021,Wyoming,6.2,Male
2020,Nevada,7.3,Male
2012,California,3.9,"Black, non-Hispanic"
2017,Hawaii,3.9,Hispanic
2018,Ohio,7.6,Male
2020,Pennsylvania,6.2,Male
2015,Colorado,2.3,Hispanic
2015,Oklahoma,6.1,"Black, non-Hispanic"
2016,Maryland,6.3,Female
2015,South Carolina,8.4,Female
2020,New York,5.4,Female
2012,Connecticut,5.5,"White, non-Hispanic"
2014,Kentucky,12.6,Female
2015,Utah,3.8,"White, non-Hispanic"
2012,Utah,4.6,Female
2020,Missouri,7.3,"Black, non-Hispanic"
2011,Virginia,5.1,"Black, non-Hispanic"
2013,Massachusetts,6.4,"White, non-Hispanic"
2012,Kentucky,12.0,Female
2018,West Virginia,14.0,Male
2017,Illinois,7.7,Female
2015,Washington,6.8,"White, non-Hispanic"
2018,Arkansas,8.7,"Multiracial, non-Hispanic"
2015,Arkansas,6.9,"Black, non-Hispanic"
2012,Louisiana,8.1,Female
2016,Wisconsin,5.8,Male
2016,Ohio,8.6,Male
2018,Tennessee,23.0,"Multiracial, non-Hispanic"
2011,Kansas,7.3,Female
2017,Arizona,8.1,"White, non-Hispanic"
2011,Connecticut,5.0,Male
2015,Ohio,8.9,Female
2018,Indiana,9.6,"White, non-Hispanic"
2013,Massachusetts,6.1,Female
2016,Colorado,5.4,"Black, non-Hispanic"
2013,Idaho,4.8,"White, non-Hispanic"
2019,Connecticut,4.8,Male
2018,Montana,6.5,Female
2021,Virginia,7.3,Female
2018,North Carolina,6.0,"Black, non-Hispanic"
2015,Arkansas,10.9,"White, non-Hispanic"
2017,Delaware,8.5,"White, non-Hispanic"
2020,New York,4.7,"Black, non-Hispanic"
